Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,,,,,,,,,,,
,,,,,,,,,,,
,GW-A-Xiaomi Stick,50,50,0,,,,,,,
,GW-T-Xiaomi Mi S TV Box,100,100,0,,,,,,,
,GW-A-Huawei Honor Band 5,30,30,0,,,,,,,
,Xiaomi Mi True Basic 2 (please give to Richard to list),50,50,0,,,,,,,
