Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,Tracking #: 772336167640                        ,,,,,,,,,,
,,,,,,,,,,,
,GW-T-JOT Battery Base-Home Mini-Silver,1,1,0,,,,,,,
,GW-T-Digigear Card Adapter,1,1,0,,,,,,,
,GW-T-Wyze Cam Pan Mounting Kit,7,7,0,,,,,,,
,GW-T-Caseology Pixel 4a,1,1,0,,,,,,,
,GW-T-Caseology Parallax for Google Pixel 4a 5G-Burgundy,1,1,0,,,,,,,
,GW-T-Google Pixel 4A,1,1,0,,,,,,,
,GW-T-Samsung 860 EVO 500GB,13,13,0,,,,,,,
,GW-T-Fire HD 10 Kids Edition-Pink Kid-Proof Case,2,2,0,,,,,,,
,GW-Fire HD 10 Tablet 32GB - White,2,2,0,,,,,,,
,GW-T-Fitbit Versa 3 Midnight/Soft Gold Aluminum,1,1,0,,,,,,,
,GW-T-Fitbit Versa 3 - Pink/Gold,1,1,0,,,,,,,
,GW-T-2018-Google Chromecast-Black,4,4,0,,,,,,,
,GW-T-Roku streaming stick + 3810,5,5,0,,,,,,,
,GW-T-BOSE SOUNDLINK MICRO-BLACK,4,4,0,,,,,,,
,GW-T-Airpods Pro Wireless Charging Case,5,5,0,,,,,,,
,GW-T-Airpods 2nd gen,4,4,0,,,,,,,
,GW-T-Airpods Pro Wireless (2nd gen),2,2,0,,,,,,,
,GW-T-Magic Keyboard,1,1,0,,,,,,,
,GW-T-Kindle Kids Edition-Rainbow Birds,1,1,0,,,,,,,
,GW-T-Kindle Kids Edition-Space Station,2,2,0,,,,,,,
,GW-T-Lenovo Smart Clock with the Google Assistant,4,4,0,,,,,,,
,GW-T-Lenovo Smart Clock Essential,4,4,0,1 box broken,,,,,,
,GW-T-wyze band,2,2,0,,,,,,,
,GW-T-Echo Show 5 - Charcoal,1,1,0,,,,,,,
,GW-T-GOOGLE HOME MAX-CHALK,3,2,-1,,,,,,,
,GW-T-GOOGLE HOME MAX-CHARCOAL,3,2,-1,,,,,,,
,GW-T-APPLE HOMEPOD-SGRAY,3,3,0,,,,,,,
,GW-T-APPLE HOMEPOD-WHITE,3,2,-1,,,,,,,
,GW-T-Echo 4th Gen-Twilight Blue,3,3,0,,,,,,,
,GW-T-Echo auto,5,2,-3,,,,,,,
,GW-T-ECHO DOT 4TH GEN WITH CLOCK-GLACIER WHITE,11,11,0,,,,,,,
,GW-T-ECHO DOT 4TH GEN WITH CLOCK-TWILIGHT BLUE,15,15,0,,,,,,,
,GW-T-GOPRO-HERO-9,2,2,0,,,,,,,
,GW-T-Hatch Baby Plus,2,2,0,,,,,,,
,GW-T-Homedics White noise machine,5,5,0,,,,,,,
,GW-T-Google Home Mini-Charcoal,1,1,0,,,,,,,
,PrinCube,1,1,0,,,,,,,
,GW-T-Wyze Headphones,3,3,0,,,,,,,
,GW-T-Echo 4th Gen-Twilight Blue,3,3,0,,,,,,,
