sku,variant_image,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,del image
8000730,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/9bd21489d1a03febda3d0a5a64ee1ce944c346fd.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/4cf657ecb3f2d7509b31998ee81d570f87680fa9.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/523c8e7bf0250076c3b969729b23cfd0fc55fb24.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/f56f4803a2ff0286f4204df648f39405937f99cd.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/57d91965b53d65f8847edf5d5e38620e2eb88ba3.jpg,,,,,,,,,,,,1
8000753,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/d6ad69a3a305eecaa0413dd9123f53c4ad382b67.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/8c3b1cfdada2fda047a0ef1b566acb0887182026.jpg,,,,,,,,,,,,,,,1
8000755,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/655dcd1f2ff9ccd6c8df9b3911e7992478478d41.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/ca2663badb06702f20af2d26d255a745e82c677a.jpg,,,,,,,,,,,,,,,1
8000756,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/f293eb80d5f54ac55a9eae76338e33b5a93627f7.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/8ecb63a7479195d26d13b3ec4e04460089f61814.jpg,,,,,,,,,,,,,,,1
8000757,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/ddf86864a2aa9022484b9b1ff380160ac002c75e.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/5723d676fdcd5f3ef6d06ef7b7f44e171303b539.jpg,,,,,,,,,,,,,,,1
8000650,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/ce83dc435ba18fdab417d3eda0f1de8daa0b21b3.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/69d5978f0ed2899cf5e47c0a875da78aa2e04502.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/a539f70881d04f4f94a0eaf84bead1e9843e5af9.jpg,,,,,,,,,,,,,,1
3000184,https://s2s-image.s3.amazonaws.com/5564e3c564bea19245804173e37e8726.jpg,https://s2s-image.s3.amazonaws.com/d66576e142cb191672085bcf5618e974.jpg,https://s2s-image.s3.amazonaws.com/67ff8420c2351b0e23dc003f742a4cd1.jpg,,,,,,,,,,,,,,1
8000696,https://s2s-image.s3.amazonaws.com/dd4e3ad545fa3560af4421eb350d799b.jpg,https://s2s-image.s3.amazonaws.com/8273794124cb17f74209354ffa9f4e16.jpg,https://s2s-image.s3.amazonaws.com/4f3fbc897f98fe629664e09506c7d4b8.jpg,https://s2s-image.s3.amazonaws.com/073c99c85ca1dd8bfd4f402a6e8fba0d.jpg,https://s2s-image.s3.amazonaws.com/0a7579e90de5ada28351abc8c727231e.jpg,,,,,,,,,,,,1
5000017,https://s2s-image.s3.amazonaws.com/ae5aae67335bbbe6466ec271d4f51d44.jpg,https://s2s-image.s3.amazonaws.com/1664feaba22805c4cffb2e5a1b5083d5.jpg,https://s2s-image.s3.amazonaws.com/35e19974441727861df0e5f06f143f9a.jpg,https://s2s-image.s3.amazonaws.com/7f08393adab8e1bf57c0b766f8ab824c.jpg,,,,,,,,,,,,,1
8000780,https://s2s-image.s3.amazonaws.com/5057da710678b3b5d6b0b34652d9e9cf.jpg,https://s2s-image.s3.amazonaws.com/36bfa3bfa02af0981fc9d889bd14a41f.jpg,https://s2s-image.s3.amazonaws.com/f886b0d58834922fb1ff625b5c31359a.jpg,https://s2s-image.s3.amazonaws.com/8df443170511fb041ae35a5d32ded48b.jpg,https://s2s-image.s3.amazonaws.com/dca39242c810ae80e532ac4bb27c7520.jpg,https://s2s-image.s3.amazonaws.com/55f2b792274b9cb4f7a304a5a4d4de5d.jpg,https://s2s-image.s3.amazonaws.com/207d81425a10962e8d9aab965dcb2a8c.jpg,,,,,,,,,,1
