Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,,Weight box,,Dimms box
,,,,,,,,,,,
,,,,,,,,,,,
,GW-T-AMAZON ECHO DOT 3RD GEN-CHARCOAL,100,100,0,,,,,,,
,GW-T-AMAZON ECHO DOT 3RD GEN-SANDSTONE,30,30,0,,,,,,,
