Send to TA,Item,Qty ordered,QTY received?,QTY missing?,Comments,Dimms,Weight,BO text,Weight box,,Dimms box
,Tracking #: ,,,,,,,,,,
,,,,,,,,sdhfishfsdjfjs,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Light Blue,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Dark Blue Rectangles,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (Single Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (2x Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (3x Seater)-Retro,5,5,0,,,,,,,
2,GW-T-Stretch Couch Cover (4x Seater)-Retro,5,5,0,,Takealot rcvd,GW dispatched,TTL,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Red Airplane,18,18,0,,,,0,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Numbers,18,18,0,,,,,,,
10,GW-P-Kids Foldable and Adjustable Scooter-Diamond,18,18,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Orange/Turquoise,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Light Blue/Royal Blue,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Purple/Pink,12,12,0,,,,,,,
8,GW-P-Kids Scooter with Seat - Turquoise,12,12,0,,,,,,,
10,GW-P-Kids Scooter-Light Blue,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Red,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Light Pink,18,18,0,,,,,,,
10,GW-P-Kids Scooter-Steel-Red,12,12,0,,,,,,,
10,GW-P-Kids Scooter-Steel-Pink,12,12,0,,,,,,,
8,GW-P-Kids Scooter-Steel-Green,12,12,0,,,,,,,
8,GW-P-Kids Scooter-Steel-Blue,12,12,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Black,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Yellow,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Red,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Pink,25,25,0,,,,,,,
10,GW-P-12 inch Kids Balance Bike-Blue,25,25,0,,,,,,,
3,GW-T-Baby Balance Bike-Black,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Yellow,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Red,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Blue,5,5,0,,,,,,,
3,GW-T-Baby Balance Bike-Pink,5,5,0,,,,,,,
30,GW-P-Kids trampoline ,100,100,0,,,,,,,
